DataSource,Age,PopulationEstimates_T,PopulationEstimates_F,PopulationEstimates_M,CensusData_T,CensusData_F,CensusData_M
Sex,,,,,,,
0,0.0,284596.51786989183,141543.22446128714,143053.29340860466,,,
1,1.0,301485.85049871914,148106.6692785008,153379.18122021836,304189.18122021836,150810.0,158480.0
12,2.0,313426.42133089504,152765.9856240348,160660.43570686024,314135.43570686027,153475.0,160635.0
23,3.0,321050.0845969412,155762.1077220114,165287.9768749298,320772.9768749298,155485.0,165050.0
24,4.0,324988.69452737924,157335.9697965528,167652.72473082648,325817.72473082645,158165.0,166240.0
25,5.0,325874.10535273096,157728.50607178116,168145.59928094977,327070.5992809498,158925.0,167505.0
26,6.0,324338.17130351753,157180.65077181888,167157.52053169862,330647.5205316986,163490.0,172045.0
27,7.0,321012.74661026045,155933.33812078793,165079.40848947252,330129.4084894725,165050.0,173695.0
28,8.0,316529.68550348165,154227.50234281083,162302.1831606708,328082.1831606708,165780.0,173705.0
29,9.0,311520.8422137025,152304.07766200954,159216.764551693,320326.764551693,161110.0,169230.0
2,10.0,305852.5224236492,150203.20614143668,155649.31628221253,313169.3162822125,157520.0,164925.0
3,11.0,299391.0318160475,147965.0298441442,151426.00197190326,306526.00197190326,155100.0,163235.0
4,12.0,296595.967360397,146834.4437996042,149761.52356079276,306281.5235607928,156520.0,163805.0
5,13.0,299630.28038281004,147453.96655407868,152176.31382873133,305466.3138287313,153290.0,160825.0
6,14.0,306829.179470422,149462.15584848015,157367.02362194186,311572.02362194186,154205.0,162225.0
7,15.0,313579.32797150256,151431.2071495816,162148.12082192095,318468.1208219209,156320.0,164905.0
8,16.0,319860.68052109575,153138.06889057608,166722.61163051968,328422.6116305197,161700.0,170320.0
9,17.0,329564.5893271129,157143.6042502332,172420.98507687965,334210.9850768796,161790.0,170000.0
10,18.0,343861.1592632362,164415.92687346434,179445.23238977187,348200.23238977185,168755.0,175375.0
11,19.0,360660.9972257572,173603.221450533,187057.77577522426,363452.77577522426,176395.0,185370.0
13,20.0,377296.9891635261,182639.8845474012,194657.10461612494,380607.10461612494,185950.0,192665.0
14,21.0,395013.4185982584,192244.22747560666,202769.1911226517,391554.1911226517,188785.0,197160.0
15,22.0,406786.702017726,199065.54605577196,207721.15596195406,396961.15596195403,189240.0,196330.0
16,23.0,409075.28983119526,201323.65806304765,207751.6317681476,400731.6317681476,192980.0,199095.0
17,24.0,405227.5216428868,200629.22751501473,204598.29412787204,401918.29412787204,197320.0,201500.0
18,25.0,401841.11084119364,200221.78039827722,201619.33044291643,402659.3304429164,201040.0,205205.0
19,26.0,397245.90378056373,199271.82720852306,197974.07657204068,400924.0765720407,202950.0,204675.0
20,27.0,395079.1052122474,199383.75310004983,195695.35211219758,393075.35211219755,197380.0,197865.0
21,28.0,397702.2185280848,201623.17514633664,196079.0433817482,391709.0433817482,195630.0,191995.0
22,29.0,403053.9484559137,205027.4815386872,198026.46691722647,395861.46691722644,197835.0,194345.0
